artist_name,follower_count,follower_platform,confidence_score,source_count,question_count,build_status,deployment_status,post_deployment_test_status,live_url,rejection_or_failure_reason
Delivery,7100,Instagram,70,5,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | FEATURED_VIDEO_POPULARITY_UNVERIFIED: The most-viewed official video could not be proved from the official channel Popular ordering. | IDENTITY_CONFIDENCE_FAILED: featuredVideo could not be tied to Delivery with sufficient evidence. | CONFIDENCE_BELOW_98: Confidence score 70% is below the mandatory 98% gate.
Cash Savage and the Last Drinks,16000,Instagram,90,6,0,rejected,not_started,not_started,,DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | CONFIDENCE_BELOW_98: Confidence score 90% is below the mandatory 98% gate.
Gut Health,18000,Instagram,70,5,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | DIRECT_DESTINATION_UNRESOLVED: featuredVideo did not resolve to a direct destination. | CONFIDENCE_BELOW_98: Confidence score 70% is below the mandatory 98% gate.
Floodlights,35000,Instagram,60,4,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DIRECT_DESTINATION_UNRESOLVED: youtube did not resolve to a direct destination. | DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | DIRECT_DESTINATION_UNRESOLVED: featuredVideo did not resolve to a direct destination. | CONFIDENCE_BELOW_98: Confidence score 60% is below the mandatory 98% gate.
RVG,27000,Instagram,70,4,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: website failed after automatic retries (404). | DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | CONFIDENCE_BELOW_98: Confidence score 70% is below the mandatory 98% gate.
Maple Glider,31000,Instagram,90,6,0,rejected,not_started,not_started,,DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | CONFIDENCE_BELOW_98: Confidence score 90% is below the mandatory 98% gate.
Folk Bitch Trio,39000,Instagram,90,6,0,rejected,not_started,not_started,,DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | CONFIDENCE_BELOW_98: Confidence score 90% is below the mandatory 98% gate.
Nice Biscuit,24000,Instagram,60,4,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: website failed after automatic retries (fetch failed). | DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | DIRECT_DESTINATION_UNRESOLVED: featuredVideo did not resolve to a direct destination. | CONFIDENCE_BELOW_98: Confidence score 60% is below the mandatory 98% gate.
Bananagun,18000,Instagram,80,5,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | CONFIDENCE_BELOW_98: Confidence score 80% is below the mandatory 98% gate.
Surprise Chef,49000,Instagram,50,4,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DIRECT_DESTINATION_UNRESOLVED: youtube did not resolve to a direct destination. | DESTINATION_UNREACHABLE: website failed after automatic retries (fetch failed). | IDENTITY_CONFIDENCE_FAILED: newsReviews could not be tied to Surprise Chef with sufficient evidence. | DIRECT_DESTINATION_UNRESOLVED: featuredVideo did not resolve to a direct destination. | CONFIDENCE_BELOW_98: Confidence score 50% is below the mandatory 98% gate.
Karate Boogaloo,15000,Instagram,60,4,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DIRECT_DESTINATION_UNRESOLVED: youtube did not resolve to a direct destination. | DESTINATION_UNREACHABLE: website failed after automatic retries (fetch failed). | DIRECT_DESTINATION_UNRESOLVED: featuredVideo did not resolve to a direct destination. | CONFIDENCE_BELOW_98: Confidence score 60% is below the mandatory 98% gate.
The Prize,13000,Instagram,70,6,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | IDENTITY_CONFIDENCE_FAILED: newsReviews could not be tied to The Prize with sufficient evidence. | FEATURED_VIDEO_POPULARITY_UNVERIFIED: The most-viewed official video could not be proved from the official channel Popular ordering. | IDENTITY_CONFIDENCE_FAILED: featuredVideo could not be tied to The Prize with sufficient evidence. | CONFIDENCE_BELOW_98: Confidence score 70% is below the mandatory 98% gate.
Split System,14000,Instagram,60,4,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DIRECT_DESTINATION_UNRESOLVED: youtube did not resolve to a direct destination. | DESTINATION_UNREACHABLE: website failed after automatic retries (404). | DIRECT_DESTINATION_UNRESOLVED: featuredVideo did not resolve to a direct destination. | CONFIDENCE_BELOW_98: Confidence score 60% is below the mandatory 98% gate.
CLAMM,17000,Instagram,50,4,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DIRECT_DESTINATION_UNRESOLVED: youtube did not resolve to a direct destination. | DESTINATION_UNREACHABLE: website failed after automatic retries (fetch failed). | IDENTITY_CONFIDENCE_FAILED: newsReviews could not be tied to CLAMM with sufficient evidence. | DIRECT_DESTINATION_UNRESOLVED: featuredVideo did not resolve to a direct destination. | CONFIDENCE_BELOW_98: Confidence score 50% is below the mandatory 98% gate.
Bench Press,5000,Instagram,80,5,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | CONFIDENCE_BELOW_98: Confidence score 80% is below the mandatory 98% gate.
Pinch Points,12000,Instagram,70,4,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: website failed after automatic retries (fetch failed). | DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | CONFIDENCE_BELOW_98: Confidence score 70% is below the mandatory 98% gate.
Mod Con,9000,Instagram,50,3,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DIRECT_DESTINATION_UNRESOLVED: youtube did not resolve to a direct destination. | DESTINATION_UNREACHABLE: website failed after automatic retries (fetch failed). | DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | DIRECT_DESTINATION_UNRESOLVED: featuredVideo did not resolve to a direct destination. | CONFIDENCE_BELOW_98: Confidence score 50% is below the mandatory 98% gate.
Mess Esque,11000,Instagram,80,5,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | CONFIDENCE_BELOW_98: Confidence score 80% is below the mandatory 98% gate.
Acopia,29000,Instagram,80,5,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | CONFIDENCE_BELOW_98: Confidence score 80% is below the mandatory 98% gate.
Screensaver,8000,Instagram,50,4,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DIRECT_DESTINATION_UNRESOLVED: youtube did not resolve to a direct destination. | DESTINATION_UNREACHABLE: website failed after automatic retries (404). | DESTINATION_UNREACHABLE: merchandise failed after automatic retries (404). | DIRECT_DESTINATION_UNRESOLVED: featuredVideo did not resolve to a direct destination. | CONFIDENCE_BELOW_98: Confidence score 50% is below the mandatory 98% gate.
Cool Sounds,9000,Instagram,70,4,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: website failed after automatic retries (fetch failed). | DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | CONFIDENCE_BELOW_98: Confidence score 70% is below the mandatory 98% gate.
The Stroppies,12000,Instagram,70,4,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: website failed after automatic retries (fetch failed). | DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | CONFIDENCE_BELOW_98: Confidence score 70% is below the mandatory 98% gate.
Parsnip,7000,Instagram,60,4,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DIRECT_DESTINATION_UNRESOLVED: youtube did not resolve to a direct destination. | DESTINATION_UNREACHABLE: website failed after automatic retries (404). | DIRECT_DESTINATION_UNRESOLVED: featuredVideo did not resolve to a direct destination. | CONFIDENCE_BELOW_98: Confidence score 60% is below the mandatory 98% gate.
Vintage Crop,10000,Instagram,70,6,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | IDENTITY_CONFIDENCE_FAILED: youtube could not be tied to Vintage Crop with sufficient evidence. | FEATURED_VIDEO_POPULARITY_UNVERIFIED: The most-viewed official video could not be proved from the official channel Popular ordering. | IDENTITY_CONFIDENCE_FAILED: featuredVideo could not be tied to Vintage Crop with sufficient evidence. | CONFIDENCE_BELOW_98: Confidence score 70% is below the mandatory 98% gate.
Alien Nosejob,10000,Instagram,70,6,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | IDENTITY_CONFIDENCE_FAILED: youtube could not be tied to Alien Nosejob with sufficient evidence. | FEATURED_VIDEO_POPULARITY_UNVERIFIED: The most-viewed official video could not be proved from the official channel Popular ordering. | IDENTITY_CONFIDENCE_FAILED: featuredVideo could not be tied to Alien Nosejob with sufficient evidence. | CONFIDENCE_BELOW_98: Confidence score 70% is below the mandatory 98% gate.
Romero,8000,Instagram,60,4,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: website failed after automatic retries (404). | DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | DIRECT_DESTINATION_UNRESOLVED: featuredVideo did not resolve to a direct destination. | CONFIDENCE_BELOW_98: Confidence score 60% is below the mandatory 98% gate.
Body Type,25000,Instagram,70,5,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: website failed after automatic retries (fetch failed). | DIRECT_DESTINATION_UNRESOLVED: featuredVideo did not resolve to a direct destination. | CONFIDENCE_BELOW_98: Confidence score 70% is below the mandatory 98% gate.
Party Dozen,29000,Instagram,80,6,0,rejected,not_started,not_started,,DESTINATION_UNREACHABLE: merchandise failed after automatic retries (404). | DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | CONFIDENCE_BELOW_98: Confidence score 80% is below the mandatory 98% gate.
Loose Fit,11000,Instagram,50,4,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DIRECT_DESTINATION_UNRESOLVED: youtube did not resolve to a direct destination. | DESTINATION_UNREACHABLE: website failed after automatic retries (fetch failed). | IDENTITY_CONFIDENCE_FAILED: newsReviews could not be tied to Loose Fit with sufficient evidence. | DIRECT_DESTINATION_UNRESOLVED: featuredVideo did not resolve to a direct destination. | CONFIDENCE_BELOW_98: Confidence score 50% is below the mandatory 98% gate.
The Buoys,45000,Instagram,70,5,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: merchandise failed after automatic retries (404). | DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | CONFIDENCE_BELOW_98: Confidence score 70% is below the mandatory 98% gate.
Moaning Lisa,20000,Instagram,60,4,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: website failed after automatic retries (fetch failed). | DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | DIRECT_DESTINATION_UNRESOLVED: featuredVideo did not resolve to a direct destination. | CONFIDENCE_BELOW_98: Confidence score 60% is below the mandatory 98% gate.
VOIID,23000,Instagram,60,4,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: website failed after automatic retries (fetch failed). | DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | DIRECT_DESTINATION_UNRESOLVED: featuredVideo did not resolve to a direct destination. | CONFIDENCE_BELOW_98: Confidence score 60% is below the mandatory 98% gate.
Sunfruits,17000,Instagram,70,5,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | DIRECT_DESTINATION_UNRESOLVED: featuredVideo did not resolve to a direct destination. | CONFIDENCE_BELOW_98: Confidence score 70% is below the mandatory 98% gate.
Eggy,7000,Instagram,70,5,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | FEATURED_VIDEO_POPULARITY_UNVERIFIED: The most-viewed official video could not be proved from the official channel Popular ordering. | IDENTITY_CONFIDENCE_FAILED: featuredVideo could not be tied to Eggy with sufficient evidence. | CONFIDENCE_BELOW_98: Confidence score 70% is below the mandatory 98% gate.
Gustaf,26000,Instagram,60,4,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: website failed after automatic retries (fetch failed). | DESTINATION_UNREACHABLE: merchandise failed after automatic retries (404). | DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | CONFIDENCE_BELOW_98: Confidence score 60% is below the mandatory 98% gate.
Bodega,39000,Instagram,80,5,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | CONFIDENCE_BELOW_98: Confidence score 80% is below the mandatory 98% gate.
Deeper,24000,Instagram,90,6,0,rejected,not_started,not_started,,DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | CONFIDENCE_BELOW_98: Confidence score 90% is below the mandatory 98% gate.
Cola,22000,Instagram,70,5,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: website failed after automatic retries (fetch failed). | FEATURED_VIDEO_POPULARITY_UNVERIFIED: The most-viewed official video could not be proved from the official channel Popular ordering. | IDENTITY_CONFIDENCE_FAILED: featuredVideo could not be tied to Cola with sufficient evidence. | CONFIDENCE_BELOW_98: Confidence score 70% is below the mandatory 98% gate.
Omni,31000,Instagram,70,4,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: website failed after automatic retries (fetch failed). | DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | CONFIDENCE_BELOW_98: Confidence score 70% is below the mandatory 98% gate.
TV Priest,22000,Instagram,70,5,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: website failed after automatic retries (404). | FEATURED_VIDEO_POPULARITY_UNVERIFIED: The most-viewed official video could not be proved from the official channel Popular ordering. | IDENTITY_CONFIDENCE_FAILED: featuredVideo could not be tied to TV Priest with sufficient evidence. | CONFIDENCE_BELOW_98: Confidence score 70% is below the mandatory 98% gate.
Silver Synthetic,8000,Instagram,90,6,0,rejected,not_started,not_started,,DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | CONFIDENCE_BELOW_98: Confidence score 90% is below the mandatory 98% gate.
Being Dead,24000,Instagram,80,5,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: website failed after automatic retries (fetch failed). | CONFIDENCE_BELOW_98: Confidence score 80% is below the mandatory 98% gate.
THUS LOVE,25000,Instagram,70,4,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: website failed after automatic retries (fetch failed). | DESTINATION_UNREACHABLE: newsReviews failed after automatic retries (404). | CONFIDENCE_BELOW_98: Confidence score 70% is below the mandatory 98% gate.
The Tubs,20000,Instagram,80,5,0,rejected,not_started,not_started,,DIRECT_DESTINATION_UNRESOLVED: spotify did not resolve to a direct destination. | DESTINATION_UNREACHABLE: website failed after automatic retries (fetch failed). | CONFIDENCE_BELOW_98: Confidence score 80% is below the mandatory 98% gate.
